,name,id,minutes,n_steps,description,ingredients,n_ingredients,rating,n_reviews,breakfast,brunch,main,dessert,side_dish,vegan,vegetarian,kosher,meat,seafood,gluten_free,lactose,dairy_free,"""confectioners sugar""",1% low-fat milk,active dry yeast,all-purpose flour,allspice,almond extract,aluminum foil,american cheese,apple cider vinegar,apple juice,apple,apples,bacon,baking cocoa,baking potatoes,baking powder,baking soda,balsamic vinegar,banana,bananas,barbecue sauce,basil,bay leaf,bay leaves,beef broth,beef stock,beer,bell pepper,black beans,black olives,black pepper,blue cheese,blueberries,boiling water,boneless chicken breasts,boneless skinless chicken breast halves,boneless skinless chicken breast,boneless skinless chicken breasts,boneless skinless chicken thighs,bread flour,bread machine yeast,bread,breadcrumbs,broccoli,brown sugar,butter,buttermilk,butternut squash,cabbage,canola oil,carrot,carrots,catsup,cauliflower,cayenne pepper,cayenne,celery rib,celery ribs,celery seed,celery,cheddar cheese,cheese,cherry tomatoes,chicken bouillon cubes,chicken breasts,chicken broth,chicken stock,chicken thighs,chicken wings,chicken,chickpeas,chili powder,chives,chocolate chips,chuck roast,cider vinegar,cilantro,cinnamon,coarse salt,cocoa powder,cocoa,cold water,condensed cream of mushroom soup,cooked bacon,cooked chicken,cooked ham,cooked rice,cooking oil,cooking spray,cool whip,corn syrup,corn,cornmeal,cornstarch,cottage cheese,cracked black pepper,cream cheese,cream of chicken soup,cream of mushroom soup,cream of tartar,cream,creamy peanut butter,crushed red pepper flakes,cucumber,cumin,curry powder,dark brown sugar,diced tomatoes,dijon mustard,dried basil,dried dill weed,dried marjoram,dried onion flakes,dried oregano,dried parsley flakes,dried parsley,dried rosemary,dried thyme,dry breadcrumbs,dry mustard,dry onion soup mix,dry white wine,dry yeast,egg noodles,egg white,egg whites,egg yolks,egg,eggs,elbow macaroni,evaporated milk,extra virgin olive oil,feta cheese,fish sauce,flour tortillas,flour,food coloring,french bread,fresh basil,fresh blueberries,fresh cilantro,fresh coarse ground black pepper,fresh dill,fresh garlic,fresh ginger,fresh ground black pepper,fresh ground pepper,fresh lemon juice,fresh lime juice,fresh mushrooms,fresh parsley,fresh rosemary,fresh spinach,fresh strawberries,fresh thyme,fresh tomatoes,frozen chopped spinach,frozen corn,frozen peas,frozen spinach,garlic clove,garlic cloves,garlic powder,garlic salt,garlic,ginger,graham cracker crumbs,granulated sugar,green bell pepper,green chilies,green onion,green onions,green pepper,ground allspice,ground beef,ground black pepper,ground cinnamon,ground cloves,ground coriander,ground cumin,ground ginger,ground pepper,ground turkey,guacamole,half-and-half cream,half-and-half,ham,hard-boiled eggs,heavy cream,heavy whipping cream,hidden valley ranch dressing mix,honey,hot sauce,hot water,icing sugar,instant chocolate pudding mix,instant vanilla pudding,italian seasoned breadcrumbs,italian seasoning,jalapeno pepper,jalapeno peppers,kalamata olive,ketchup,kidney beans,kielbasa,kosher salt,large shrimp,lean ground beef,lemon,lemon juice,lemon zest,lemon,lettuce,light brown sugar,lime juice,liquid smoke,low sodium soy sauce,low-fat cheddar cheese,maple syrup,margarine,mayonnaise,milk,minced garlic cloves,molasses,monterey jack cheese,mozzarella cheese,mushrooms,mustard,nonfat dry milk powder,nutmeg,nuts,oatmeal,oil,old bay seasoning,olive oil,onion powder,onion soup mix,onion,onions,orange juice,oregano,paprika,parmesan cheese,parsley,pasta,peanut butter,peanut oil,pecans,pepper,pepperoni,pie crusts,pineapple juice,plum tomatoes,pork chops,pork tenderloin,potato,potatoes,powdered sugar,prepared horseradish,prepared mustard,pumpkin puree,pumpkin,pure vanilla extract,quick-cooking oats,quick-cooking rolled oats,raisins,red bell pepper,red onion,red pepper flakes,red potatoes,red wine vinegar,red wine,refried beans,refrigerated crescent dinner rolls,rice vinegar,rice wine,ricotta cheese,rolled oats,rolls,romano cheese,rosemary,russet potatoes,salmon fillets,salsa,salt & freshly ground black pepper,salt & pepper,salt and pepper,salt,scallion,scallions,sea salt,seasoned bread crumbs,seasoning salt,semi-sweet chocolate chips,semisweet chocolate,sesame oil,sesame seeds,shallot,shallots,sharp cheddar cheese,shortening,shredded cheddar cheese,shrimp,skim milk,sliced almonds,sour cream,soy sauce,spaghetti sauce,stewed tomatoes,strawberries,strawberry,sugar,sweet onion,sweet pickle relish,sweet potatoes,sweetened condensed milk,swiss cheese,tabasco sauce,taco seasoning mix,taco seasoning,thyme,tilapia fillets,tomato paste,tomato sauce,tomatoes,unbleached all-purpose flour,unsalted butter,unsweetened cocoa powder,vanilla extract,vanilla instant pudding mix,vanilla,vegetable broth,vegetable oil cooking spray,vegetable oil,vegetable shortening,velveeta cheese,vinegar,walnuts,warm water,water,whipped cream,whipping cream,white bread,white pepper,white rice,white sugar,white vinegar,white wine vinegar,whole kernel corn,whole milk,whole turkey,whole wheat flour,worcestershire sauce,yeast,yellow cake mix,yellow onion,yellow onions,zucchini,juice of,zest of,cluster
0,land of nod  cinnamon buns,22526,35,7,"i have made this several times and it's dead easy. if you have overnight guests, what could be easier for breakfast? i've made it on special occasions, too, such as easter morning and christmas morning, etc. this recipe comes from the best of bridge series.","rolls, brown sugar, instant vanilla pudding, cinnamon, raisins, butter",6,4.55,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,never weep  whipped cream,74805,5,4,"i don't know where i got this, but it works. the whipped cream will keep for a week in the fridge without deflating... great for party make-ahead.","whipping cream, vanilla instant pudding mix, powdered sugar, vanilla extract",4,4.86,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2,ant  kelly s london broil marinade,155959,200,13,"my niece shwana loves this!  she always writes my name ""ant"" kelly when we play rummy or scrabble - started when she was little and stuck.  
i always make this when we go tubing in wisconsin.  

prep time includes does not include time to marinate.","balsamic vinegar, soy sauce, worcestershire sauce, olive oil, garlic cloves, rosemary, fresh ground black pepper, london broil beef",8,4.36,113,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
3,kelly s creamy cheddar pea salad,125195,20,5,"i'm not a big fan of peas, but like them in things. this salad is one of my favorites. happy to share!","frozen peas, celery, hard-boiled eggs, onion, cheddar cheese, mayonnaise, sweet pickle relish, sugar, seasoning salt, mustard",10,4.62,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
4,almost  boston market creamed spinach,77206,50,14,"this is quite similar to the creamed spinach at boston market, well so i'm told anyway! --- this is a great side dish, even people that hate spinach love this, it's great to serve along side a holiday turkey or a ham dinner, or at any meal --- i also like to saute about 2 teaspoons fresh minced garlic and a pinch of cayenne pepper in the butter for about 2 minutes before adding in the flour but that is optional, add in some grated parmesan cheese too if desired, this complete recipe can be doubled :)","butter, flour, salt, half-and-half, sour cream, onions, water, frozen spinach, ground black pepper, parmesan cheese",10,4.58,72,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
5,swiss  round steak with onion gravy,98844,150,13,"we always called this ""salisbury steak"", but it does not have tomatoes. comfort food at it's best...","round steaks, flour, salt, pepper, oil, onion, garlic cloves, beef broth",8,4.62,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,whatever floats your boat  brownies,32204,35,14,"these are absolutely the chewiest, moistest, fudgiest brownies ever! i have tried adding so many different things to the batter, and they always comes out great.  they are also great without any add-ins! but by varying the add-ins, you can make different brownies every week (or day!!) super easy prep! so, add ""whatever floats your boat"" and you will not believe how yummy they come out :) oh, and the recipe doubles just fine--use a 9 x 13 inch pan instead and add a few more minutes of baking!","butter, unsweetened cocoa, sugar, eggs, vanilla, flour, salt, chocolate chips, raisins, maraschino cherry, nuts, m&m\\, reese\\s pieces, miniature marshmallow",14,4.53,1220,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7,get up   go  bars,63131,10,6,"i found these at the mr. food site. my friends says they really are called get up and go bars because with all the fiber, you really will have to get up and run! especially if you have one of these bars with your first morning cup of coffee!","sugar, light corn syrup, peanut butter, grape-nuts cereal, rolled oats, sliced almonds, dried cranberries",7,4.68,56,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,panera bread  black bean soup,49737,25,9,"this is my own version of panera bread's black bean soup. it tastes a lot like it, and i love it! use vegetable stock to make it vegetarian.","onion, garlic cloves, celery ribs, red bell pepper, chicken bouillon cubes, boiling water, black beans, salt, cumin, lemon, juice of, cornstarch",11,4.41,202,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
9,shrimp  cocktail sauce,26420,5,2,this is an easy to make shrimp sauce. it makes about 1 1/2 cups.,"catsup, horseradish, lemon juice, worcestershire sauce, salt, pepper",6,4.56,104,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
